UNIQUEID,REGION,STATE,PERCENTILE,TOP5PCT,HHNUMBR,AGES5TO18,pctPopulation,LIVINGQRTS,TENURETYPE,PROPERTYVALUE,LOWERRENT,HOUSINGPROJECT,FOODSTAMPS,ENGERGYASST,pctFRval,pctSEval,pctWSval,pctOIval,pctANNval,pctCSPval,pctDISval,pctDIVval,pctSDTval,pctEDval,pctFINval,pctINTval,pctPAWval,pctPENval,pctRNTval,pctSSIval,pctSSval,pctSURval,pctUCval,pctVETval,pctWCval,pctTotal ,pctPopPercent,HTOTVAL
30822061801713805011,2,31,19,2,4,1,0.001811594,1,1,90000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0.25,190767
71000328382168105011,2,31,2,2,2,0,0.000905797,1,1,60000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,13080
03011026832818705011,2,31,6,2,1,0,0.000452899,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0.25,0,0,0,0,1,1,34223
41312913010180906111,2,31,4,2,2,0,0.000905797,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,1,0.5,22000
81000214311939106111,2,31,2,2,1,0,0.000452899,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.78,0,0,0,0,1,1,12816
30630071800012606011,2,31,3,2,1,0,0.000452899,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18200
18978301007652005011,2,31,20,1,2,0,0.00091,1,1,400000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,389302
03011013921491806111,2,31,2,2,1,0,0.000452899,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,1,1,9080
81302017030600606011,2,31,3,2,1,0,0.000452899,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15000
01000208363076106011,2,31,3,2,1,0,0.000452899,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15869
07009176830285105011,2,31,20,1,2,0,0.00091,1,1,150000,No Rental Assistance,Not a Public Housing Project,0,0,0.18,0,0,0,0,0,0,0,0.73,0,0,0.01,0,0,0,0,0.07,0,0,0,0,0.99,0.5,328747
30911031409812106111,2,31,3,2,1,0,0.000452899,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,16848
19489301005215304011,2,31,6,2,1,0,0.000452899,1,1,25000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,1,29250
30460041308715406011,2,31,15,2,4,2,0.001811594,1,1,160000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,99201
50151500153099606011,2,31,8,2,1,0,0.000452899,1,1,80000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,40202
09100159530655106011,2,31,14,2,3,0,0.001358696,1,1,141000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.88,0,0,0,0,0.09,0,0,0,0.03,0,0,0,0,0,0,0,0,0,1,0.33,90506
31000308376065106011,2,31,5,2,1,0,0.000452899,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25000
60330085611070306011,2,31,4,2,1,0,0.000452899,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,1,1,22812
90154240173030805011,2,31,2,2,2,0,0.000905797,1,1,500000,No Rental Assistance,Not a Public Housing Project,0,0,-0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,1,0.5,10075
